0	0	0	0.1
1	0.333333	0	0.1
2	0.166667	-0.288675	0.1
3	-0.166667	-0.288675	0.1
4	-0.333333	0	0.1
5	-0.166667	0.288675	0.1
6	0.166667	0.288675	0.1
7	0.666667	0	0.1
8	0.57735	-0.333333	0.1
9	0.333333	-0.57735	0.1
10	0	-0.666667	0.1
11	-0.333333	-0.57735	0.1
12	-0.57735	-0.333333	0.1
13	-0.666667	0	0.1
14	-0.57735	0.333333	0.1
15	-0.333333	0.57735	0.1
16	0	0.666667	0.1
17	0.333333	0.57735	0.1
18	0.57735	0.333333	0.1
19	1	0	0.1
20	0.939693	-0.34202	0.1
21	0.766044	-0.642788	0.1
22	0.5	-0.866025	0.1
23	0.173648	-0.984808	0.1
24	-0.173648	-0.984808	0.1
25	-0.5	-0.866025	0.1
26	-0.766044	-0.642788	0.1
27	-0.939693	-0.34202	0.1
28	-1	0	0.1
29	-0.939693	0.34202	0.1
30	-0.766044	0.642788	0.1
31	-0.5	0.866025	0.1
32	-0.173648	0.984808	0.1
33	0.173648	0.984808	0.1
34	0.5	0.866025	0.1
35	0.766044	0.642788	0.1
36	0.939693	0.34202	0.1
